Project,Scenario,Dollar_year,Weather_year,Start_day,country
Cambium_2022,MidCase,2021$,2012,Sunday,usa
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Geography,Time,Time,Time,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation
RFCEc,ET,2030,22,12601082.4,12071399.8,4853267.0,5836999.0,0.035,0.0519,0.46,0.48,221.8,6.7,0.81,26.9,1086.0,0.16,222.2,59.3,281.5,231.9,8.1,1.01,27.1,1101.6,0.17,232.5,60.0,292.4,323.8,11.6,1.46,33.4,1514.2,0.15,324.5,78.6,403.1,748.9,62.8,8.95,44.5,2357.0,0.37,753.2,114.9,868.1,27.82,0.0,0.36,28.18,29.38,0.0,0.38,29.76,13588765.0
RFCEc,ET,2030,23,11572020.2,11081208.5,4786780.5,6187719.5,0.0337,0.0476,0.47,0.49,213.4,6.1,0.72,26.6,1058.7,0.16,213.8,58.1,271.9,217.0,6.8,0.83,26.3,1054.8,0.16,217.4,57.8,275.3,329.7,11.5,1.44,34.3,1552.3,0.15,330.4,80.6,411.0,681.4,52.9,7.47,44.1,2293.6,0.32,685.0,112.6,797.6,26.07,0.0,0.37,26.43,27.4,0.0,0.38,27.79,12981262.0
RFCEc,ET,2035,0,11096615.7,10520670.5,5396724.0,6912005.0,0.0323,0.0427,0.56,0.59,175.7,5.0,0.6,22.5,871.8,0.15,176.1,48.5,224.5,172.8,5.2,0.62,22.0,851.1,0.14,173.2,47.4,220.5,347.5,15.2,1.99,33.3,1542.5,0.16,348.5,79.3,427.8,556.4,34.1,4.69,44.3,2161.7,0.26,558.7,108.8,667.5,23.59,0.0,0.0,23.59,24.74,0.0,0.0,24.74,12632143.0
RFCEc,ET,2035,1,10639421.1,9986691.1,5378482.5,6961801.5,0.0318,0.0404,0.57,0.6,171.1,4.9,0.58,22.1,849.9,0.15,171.4,47.5,218.8,165.8,4.8,0.57,21.4,821.7,0.14,166.1,46.0,212.1,345.0,13.9,1.8,34.1,1567.6,0.16,345.9,80.8,426.8,530.2,30.1,4.1,44.5,2135.8,0.24,532.2,108.2,640.4,22.83,0.0,0.0,22.83,23.89,0.0,0.0,23.89,12243485.0
RFCEc,ET,2035,2,10437710.6,9693728.3,5377861.0,6995177.5,0.0316,0.0392,0.58,0.61,169.0,4.8,0.57,21.9,840.5,0.15,169.3,47.0,216.3,163.5,4.7,0.56,21.3,811.2,0.14,163.8,45.5,209.3,342.8,13.5,1.73,34.2,1568.3,0.16,343.6,81.0,424.6,499.6,25.2,3.38,44.7,2111.6,0.23,501.3,107.7,608.9,22.53,0.0,0.0,22.53,23.54,0.0,0.0,23.54,12074906.0
RFCEc,ET,2035,3,10362495.0,9613848.2,5388377.0,7013986.5,0.0315,0.0389,0.58,0.61,169.3,4.8,0.57,22.0,842.2,0.15,169.6,47.1,216.8,163.2,4.7,0.56,21.3,810.1,0.14,163.5,45.4,208.9,342.1,13.4,1.72,34.2,1565.7,0.16,342.9,80.9,423.8,499.3,25.5,3.43,44.4,2100.9,0.23,501.0,107.1,608.1,22.5,0.0,0.0,22.5,23.51,0.0,0.0,23.51,12008265.0
RFCEc,ET,2035,4,10382832.4,9710490.3,5509661.0,7148279.0,0.0316,0.0393,0.58,0.61,170.5,4.8,0.57,22.1,847.8,0.15,170.8,47.4,218.2,163.0,4.7,0.55,21.2,809.8,0.14,163.3,45.4,208.7,341.7,13.6,1.75,33.9,1558.1,0.16,342.6,80.4,423.0,499.7,25.0,3.34,44.9,2120.5,0.23,501.4,108.2,609.6,22.66,0.0,0.0,22.66,23.69,0.0,0.0,23.69,12040384.0
RFCEc,ET,2035,5,10984628.7,10330135.7,5596727.0,7057885.0,0.0321,0.0419,0.58,0.61,169.3,4.8,0.57,21.8,840.8,0.14,169.6,46.9,216.5,160.9,4.6,0.55,20.9,799.3,0.14,161.2,44.7,206.0,314.4,13.1,1.7,30.7,1416.5,0.14,315.3,73.0,388.3,521.7,28.2,3.82,45.0,2146.1,0.24,523.6,109.0,632.6,22.96,0.0,0.0,22.96,24.06,0.0,0.0,24.06,12463219.0
RFCEc,ET,2035,6,12574555.1,11432790.0,5281367.5,6308008.0,0.0334,0.0465,0.62,0.65,151.9,4.4,0.52,19.5,753.2,0.13,152.2,42.0,194.1,146.5,4.3,0.51,18.9,724.4,0.13,146.8,40.5,187.3,264.9,11.8,1.55,25.2,1166.7,0.12,265.7,60.0,325.7,494.4,29.2,4.0,40.9,1957.6,0.24,496.4,99.3,595.7,20.85,0.0,0.0,20.85,22.2,0.0,0.0,22.2,13616637.0
RFCEc,ET,2035,7,13889573.1,12328174.8,5328872.0,5612376.0,0.0345,0.0503,0.66,0.68,137.4,4.0,0.48,17.7,679.7,0.12,137.6,37.9,175.6,133.7,4.1,0.49,17.1,656.1,0.12,134.0,36.7,170.7,217.4,10.0,1.32,20.5,947.4,0.1,218.1,48.7,266.8,426.5,24.4,3.33,36.2,1713.8,0.21,428.2,87.3,515.5,17.94,0.0,0.0,17.94,19.38,0.0,0.0,19.38,14188266.0
RFCEc,ET,2035,8,14638678.9,12812676.6,5198990.5,4991507.0,0.035,0.052,0.69,0.71,125.9,3.7,0.44,16.3,623.5,0.11,126.1,34.9,161.1,124.5,3.9,0.47,15.9,608.3,0.11,124.7,34.1,158.8,174.4,7.3,0.95,17.1,783.3,0.08,174.9,40.5,215.4,382.2,21.7,2.96,33.1,1541.0,0.2,383.6,79.1,462.7,16.24,0.0,0.0,16.24,17.54,0.0,0.0,17.54,14449646.0
RFCEc,ET,2035,9,14982875.7,13163668.3,5248287.0,4810225.5,0.0354,0.0534,0.69,0.71,124.6,3.6,0.44,16.2,616.6,0.11,124.8,34.6,159.4,123.5,3.9,0.47,15.7,602.3,0.11,123.8,33.7,157.5,164.6,6.7,0.87,16.3,743.0,0.08,165.0,38.4,203.5,366.4,19.1,2.57,33.5,1533.1,0.2,367.7,79.2,446.9,16.41,0.0,0.0,16.41,17.68,0.0,0.0,17.68,14561520.0
RFCEc,ET,2035,10,15099560.8,13576917.4,5186942.0,4643680.0,0.0361,0.0552,0.69,0.71,126.7,3.7,0.44,16.4,627.2,0.11,127.0,35.1,162.1,125.4,4.0,0.48,15.9,611.0,0.11,125.7,34.2,159.8,163.9,6.7,0.86,16.3,741.5,0.08,164.3,38.4,202.7,374.2,17.7,2.34,35.6,1623.0,0.19,375.4,84.0,459.3,17.16,0.0,0.0,17.16,18.48,0.0,0.0,18.48,14570384.0
RFCEc,ET,2035,11,15200536.8,13924817.3,5226379.0,4586313.0,0.0367,0.0569,0.68,0.7,128.3,3.7,0.45,16.6,635.0,0.11,128.5,35.6,164.1,127.0,4.1,0.5,16.1,617.6,0.11,127.3,34.5,161.8,162.7,6.6,0.85,16.2,737.0,0.08,163.2,38.2,201.3,394.7,20.7,2.79,35.7,1646.1,0.21,396.1,84.8,480.9,17.56,0.0,0.0,17.56,18.89,0.0,0.0,18.89,14573178.0
RFCEc,ET,2035,12,15406869.7,14188798.0,5244143.0,4566310.0,0.0372,0.0582,0.68,0.7,129.0,3.8,0.45,16.6,638.2,0.11,129.3,35.7,164.9,128.4,4.1,0.51,16.2,623.1,0.11,128.6,34.8,163.4,162.4,6.6,0.86,16.1,732.2,0.08,162.8,37.9,200.7,437.2,25.8,3.53,36.6,1733.8,0.22,439.0,88.3,527.3,18.06,0.0,0.0,18.06,19.48,0.0,0.0,19.48,14740685.0
RFCEc,ET,2035,13,15711080.2,14274771.3,5313792.0,4705889.0,0.0375,0.0588,0.69,0.71,126.3,3.7,0.44,16.3,624.6,0.11,126.5,34.9,161.5,126.9,4.1,0.5,15.9,614.8,0.11,127.1,34.3,161.4,163.2,6.8,0.89,16.1,731.0,0.08,163.6,37.9,201.5,418.9,23.4,3.19,36.4,1693.9,0.22,420.4,87.0,507.4,18.08,0.0,0.0,18.08,19.57,0.0,0.0,19.57,15113859.0
RFCEc,ET,2035,14,15733173.0,14413427.7,5450661.5,4685180.5,0.0378,0.0596,0.68,0.7,129.8,3.8,0.46,16.7,640.7,0.11,130.0,35.8,165.8,131.2,4.3,0.53,16.3,633.3,0.11,131.5,35.2,166.7,164.9,6.9,0.91,16.2,736.8,0.08,165.4,38.2,203.5,429.9,24.6,3.38,36.8,1711.1,0.23,431.6,87.9,519.5,18.43,0.0,0.0,18.43,19.98,0.0,0.0,19.98,14976438.0
RFCEc,ET,2035,15,15798717.3,14837194.7,5688634.5,4487917.0,0.0385,0.0615,0.65,0.67,144.1,4.4,0.53,18.2,707.4,0.12,144.4,39.3,183.7,146.0,5.0,0.62,17.8,697.9,0.12,146.3,38.6,185.0,184.3,8.1,1.06,17.8,812.2,0.09,184.8,42.1,226.9,494.2,32.6,4.52,38.0,1849.3,0.25,496.4,93.1,589.6,20.42,1.57,0.0,21.99,22.06,1.72,0.0,23.78,14601182.0
RFCEc,ET,2035,16,16331180.6,15514862.3,6022519.0,4733066.0,0.0395,0.0642,0.59,0.6,170.2,5.4,0.66,20.8,826.4,0.13,170.6,45.5,216.1,177.5,6.4,0.81,20.9,837.0,0.14,177.9,45.9,223.8,249.0,11.9,1.59,23.1,1065.5,0.12,249.8,54.9,304.6,644.1,49.1,6.95,43.4,2169.2,0.33,647.4,108.2,755.6,25.23,11.85,0.0,37.08,27.13,12.91,0.0,40.04,15041635.0
RFCEc,ET,2035,17,16914892.6,16124006.7,6078655.5,5061198.5,0.0404,0.0666,0.57,0.56,181.7,5.9,0.72,21.9,875.7,0.14,182.1,48.1,230.1,200.8,7.4,0.94,23.3,937.0,0.15,201.2,51.3,252.5,324.5,14.6,1.93,30.9,1415.2,0.16,325.4,73.1,398.5,669.7,42.0,5.94,54.1,2448.8,0.4,672.5,127.2,799.7,30.54,130.62,0.0,161.15,32.8,142.16,0.0,174.96,15892902.0
RFCEc,ET,2035,18,16425935.2,15687836.2,5511683.5,5098114.5,0.0395,0.0644,0.54,0.53,197.8,6.5,0.82,23.7,935.1,0.15,198.2,51.6,249.8,218.0,7.9,1.01,25.5,1008.5,0.17,218.5,55.6,274.1,373.1,15.6,2.05,36.6,1661.1,0.18,374.2,86.2,460.3,715.1,29.4,4.48,78.1,2634.1,0.75,717.2,156.8,874.0,39.56,182.29,0.0,221.84,42.38,197.96,0.0,240.34,16011074.0
RFCEc,ET,2035,19,15541129.1,14846821.3,5632163.5,5746932.5,0.038,0.0605,0.54,0.54,194.4,6.3,0.78,23.4,929.7,0.15,194.8,51.1,246.0,208.3,7.2,0.91,24.7,980.4,0.16,208.7,53.9,262.7,372.5,16.3,2.15,35.8,1637.8,0.18,373.5,84.7,458.2,662.2,31.3,4.49,65.2,2565.8,0.51,664.4,141.8,806.2,32.4,45.54,0.0,77.94,34.57,49.34,0.0,83.92,15657165.0
RFCEc,ET,2035,20,15114924.0,14439549.8,5566488.0,5601117.5,0.0373,0.0587,0.55,0.54,189.2,6.1,0.74,22.8,916.3,0.14,189.6,50.2,239.8,205.5,7.4,0.93,24.0,969.1,0.15,205.9,53.0,258.9,357.3,16.7,2.23,33.4,1539.6,0.17,358.4,79.3,437.8,651.1,42.0,5.93,51.6,2365.5,0.37,654.0,122.2,776.2,27.84,12.99,0.0,40.83,29.66,14.04,0.0,43.7,15151835.0
RFCEc,ET,2035,21,14350297.4,13708364.5,5553527.5,5747811.5,0.0363,0.0557,0.54,0.54,190.5,6.0,0.73,23.2,926.7,0.14,190.9,50.8,241.7,204.5,7.3,0.92,24.0,965.2,0.15,204.9,52.8,257.7,350.5,17.1,2.29,32.1,1491.7,0.17,351.7,76.6,428.2,665.8,48.7,6.85,46.3,2326.3,0.32,669.1,115.7,784.8,26.96,2.39,0.0,29.35,28.65,2.58,0.0,31.23,14548666.0
RFCEc,ET,2035,22,13155877.9,12566183.2,5464239.0,6140074.5,0.0347,0.051,0.54,0.55,190.2,5.8,0.7,23.5,931.9,0.15,190.6,51.3,241.9,199.2,6.9,0.87,23.7,948.0,0.15,199.7,52.0,251.7,352.6,17.2,2.3,32.3,1503.1,0.17,353.7,77.1,430.8,683.4,53.3,7.56,44.6,2262.2,0.35,687.1,112.2,799.2,26.11,0.0,0.0,26.11,27.63,0.0,0.0,27.63,13838278.0
RFCEc,ET,2035,23,12036665.9,11465121.3,5363743.0,6544198.0,0.0333,0.0465,0.54,0.56,185.4,5.5,0.65,23.3,914.6,0.15,185.7,50.6,236.3,187.7,6.0,0.74,23.0,909.4,0.15,188.1,50.2,238.3,352.6,16.5,2.19,32.9,1526.8,0.17,353.7,78.4,432.2,617.4,43.1,6.02,44.4,2231.6,0.29,620.3,111.0,731.4,24.97,0.0,0.0,24.97,26.32,0.0,0.0,26.32,13225412.0
RFCEc,ET,2040,0,11545557.9,10934343.8,5291195.5,6446723.0,0.032,0.0415,0.57,0.6,168.4,4.3,0.49,22.1,852.9,0.14,168.7,47.6,216.3,166.0,4.4,0.51,21.7,834.8,0.14,166.2,46.6,212.9,353.1,17.1,2.28,32.3,1513.3,0.16,354.2,77.5,431.7,565.7,35.2,4.85,44.7,2181.5,0.26,568.1,109.8,677.9,23.06,0.0,0.0,23.06,24.16,0.0,0.0,24.16,12719852.0
RFCEc,ET,2040,1,11016761.9,10336881.4,5273634.5,6639877.0,0.0315,0.0392,0.58,0.61,165.1,4.2,0.47,21.9,838.4,0.14,165.4,46.9,212.3,160.5,4.1,0.47,21.4,813.4,0.14,160.8,45.6,206.4,347.9,15.6,2.06,32.9,1529.8,0.16,349.0,78.6,427.5,531.4,30.4,4.14,44.5,2134.3,0.25,533.4,108.2,641.6,22.46,0.0,0.0,22.46,23.46,0.0,0.0,23.46,12402786.0
RFCEc,ET,2040,2,10756323.7,10015962.9,5263453.5,6735077.0,0.0313,0.038,0.58,0.61,163.5,4.1,0.46,21.8,831.6,0.14,163.8,46.6,210.4,158.1,4.0,0.45,21.2,803.9,0.14,158.4,45.2,203.6,344.9,14.9,1.95,33.2,1534.4,0.16,345.9,78.9,424.8,510.1,26.6,3.59,44.8,2128.3,0.23,511.9,108.3,620.2,22.17,0.0,0.0,22.17,23.14,0.0,0.0,23.14,12247183.0
RFCEc,ET,2040,3,10657492.0,9936196.6,5280637.5,6768163.0,0.0312,0.0377,0.58,0.61,163.6,4.1,0.46,21.8,832.3,0.14,163.9,46.7,210.6,157.7,3.9,0.45,21.2,802.1,0.14,157.9,45.1,203.0,344.2,14.8,1.93,33.2,1534.6,0.16,345.1,79.0,424.1,508.7,26.3,3.54,44.9,2130.2,0.23,510.4,108.5,618.9,22.1,0.0,0.0,22.1,23.06,0.0,0.0,23.06,12164646.0
RFCEc,ET,2040,4,10683720.6,10018221.1,5435211.5,6901459.0,0.0313,0.038,0.58,0.61,164.3,4.1,0.46,21.9,835.9,0.14,164.6,46.9,211.4,157.2,3.9,0.44,21.1,800.2,0.14,157.4,45.0,202.4,343.8,14.8,1.94,33.1,1531.1,0.16,344.8,78.8,423.6,535.3,30.8,4.2,44.6,2144.5,0.25,537.3,108.6,645.9,22.18,0.0,0.0,22.18,23.17,0.0,0.0,23.17,12168825.0
RFCEc,ET,2040,5,11324391.0,10701626.6,5571839.5,6675825.0,0.0318,0.0407,0.59,0.62,161.4,4.1,0.46,21.5,819.8,0.14,161.7,45.9,207.6,153.1,3.8,0.43,20.5,778.4,0.14,153.4,43.8,197.1,321.7,14.4,1.9,30.5,1415.4,0.15,322.6,72.7,395.3,503.3,25.2,3.38,45.4,2134.3,0.23,505.0,109.1,614.1,22.12,0.0,0.0,22.12,23.16,0.0,0.0,23.16,12445531.0
RFCEc,ET,2040,6,13213473.9,11936638.5,5741192.5,5905343.0,0.0331,0.0455,0.64,0.67,143.4,3.6,0.42,19.0,727.1,0.12,143.6,40.7,184.4,137.1,3.6,0.42,18.1,691.1,0.12,137.3,38.8,176.1,280.6,13.4,1.78,25.9,1209.1,0.13,281.5,62.0,343.5,471.7,26.4,3.59,40.4,1914.6,0.23,473.5,97.5,571.0,19.11,0.0,0.0,19.11,20.5,0.0,0.0,20.5,13392031.0
RFCEc,ET,2040,7,14842974.9,12993349.7,6431550.5,5465629.5,0.0343,0.0497,0.67,0.7,129.7,3.3,0.38,17.2,656.5,0.11,129.9,36.8,166.7,122.9,3.4,0.39,16.1,615.3,0.11,123.1,34.5,157.6,239.1,11.6,1.55,21.9,1024.2,0.11,239.8,52.5,292.3,381.6,20.5,2.77,34.1,1577.6,0.2,382.9,81.1,464.0,16.05,0.0,0.0,16.05,17.51,0.0,0.0,17.51,13889882.0
RFCEc,ET,2040,8,15791040.4,13530962.8,6800101.5,5012232.0,0.0348,0.0515,0.7,0.73,118.9,3.0,0.35,15.9,602.4,0.11,119.1,33.9,153.0,112.2,3.1,0.37,14.8,560.5,0.1,112.4,31.5,143.9,198.5,8.6,1.12,19.2,883.4,0.09,199.1,45.5,244.7,318.1,15.6,2.09,30.1,1361.4,0.17,319.1,70.7,389.8,13.85,0.0,0.0,13.85,15.06,0.0,0.0,15.06,14018621.0
RFCEc,ET,2040,9,16358465.2,13903144.4,7411715.0,5129421.5,0.0352,0.0528,0.7,0.74,117.6,3.0,0.34,15.8,595.9,0.11,117.8,33.6,151.4,110.2,3.1,0.37,14.4,548.8,0.1,110.4,30.8,141.3,188.8,8.0,1.04,18.4,844.8,0.09,189.3,43.6,232.9,314.4,15.4,2.06,29.8,1347.3,0.17,315.4,70.0,385.5,13.91,0.0,0.0,13.91,15.05,0.0,0.0,15.05,14088762.0
RFCEc,ET,2040,10,16532830.3,14381794.8,7584925.0,5158104.5,0.0359,0.0547,0.7,0.73,119.4,3.0,0.35,16.0,605.3,0.11,119.6,34.1,153.7,111.2,3.2,0.37,14.5,553.3,0.1,111.4,31.1,142.4,189.0,7.9,1.03,18.5,848.3,0.09,189.5,43.8,233.4,307.4,12.3,1.58,31.9,1405.0,0.17,308.2,73.8,382.0,14.77,0.0,0.0,14.77,15.93,0.0,0.0,15.93,14115718.0
RFCEc,ET,2040,11,16553894.4,14836743.7,7399995.0,4950538.0,0.0366,0.0567,0.7,0.73,120.4,3.1,0.35,16.1,610.1,0.11,120.5,34.4,154.9,112.2,3.2,0.38,14.7,558.1,0.1,112.4,31.3,143.7,188.0,7.8,1.01,18.5,846.1,0.09,188.5,43.7,232.2,320.9,12.7,1.64,33.3,1462.6,0.18,321.7,76.9,398.6,15.17,0.0,0.0,15.17,16.37,0.0,0.0,16.37,14112096.0
RFCEc,ET,2040,12,16763049.0,15190178.3,7395665.5,4900547.0,0.0372,0.0582,0.69,0.73,120.9,3.1,0.35,16.2,612.7,0.11,121.1,34.5,155.5,112.8,3.2,0.38,14.7,560.8,0.1,113.0,31.4,144.4,188.3,7.9,1.02,18.5,845.7,0.09,188.8,43.7,232.5,326.9,12.9,1.65,33.8,1500.3,0.17,327.8,78.5,406.3,15.61,0.0,0.0,15.61,16.85,0.0,0.0,16.85,14274989.0
RFCEc,ET,2040,13,17078142.6,15283571.3,7408947.0,4959234.5,0.0374,0.0588,0.7,0.74,117.8,3.0,0.34,15.8,596.7,0.11,117.9,33.6,151.5,110.9,3.2,0.38,14.4,550.6,0.1,111.1,30.9,142.0,189.1,8.1,1.05,18.4,844.9,0.09,189.6,43.6,233.2,329.2,13.3,1.72,33.7,1499.5,0.18,330.1,78.4,408.5,15.59,0.0,0.0,15.59,16.9,0.0,0.0,16.9,14635142.0
RFCEc,ET,2040,14,17046545.6,15476346.5,7441457.5,4921097.5,0.0378,0.0598,0.69,0.73,121.0,3.1,0.36,16.1,612.5,0.11,121.2,34.4,155.6,114.2,3.3,0.39,14.8,566.7,0.1,114.4,31.7,146.1,190.7,8.2,1.07,18.5,850.1,0.09,191.2,43.9,235.1,333.1,13.3,1.71,34.3,1522.5,0.18,333.9,79.7,413.6,15.96,0.0,0.0,15.96,17.33,0.0,0.0,17.33,14530003.0
RFCEc,ET,2040,15,17145388.8,16068613.2,7505034.5,4645498.5,0.0387,0.0622,0.66,0.7,134.8,3.6,0.41,17.7,679.1,0.12,135.0,38.0,173.0,127.2,3.7,0.44,16.3,629.2,0.11,127.5,35.1,162.5,212.1,9.6,1.26,20.2,930.1,0.1,212.7,48.0,260.7,438.5,26.1,3.58,36.7,1729.9,0.22,440.3,88.3,528.6,18.66,0.53,0.0,19.2,20.18,0.59,0.0,20.77,14283227.0
RFCEc,ET,2040,16,17876362.4,16975152.0,7704227.0,4814724.5,0.04,0.0657,0.61,0.64,157.1,4.3,0.5,20.1,785.4,0.13,157.4,43.5,200.9,155.6,4.7,0.57,19.4,762.5,0.12,155.9,42.1,198.0,278.2,14.0,1.88,25.1,1172.1,0.13,279.1,60.1,339.2,587.8,38.3,5.33,45.4,2196.1,0.29,590.4,110.9,701.3,23.91,18.14,0.0,42.05,25.74,19.82,0.0,45.56,14983349.0
RFCEc,ET,2040,17,18620258.9,17742826.8,6816057.0,4451003.5,0.0412,0.0686,0.59,0.59,166.9,4.7,0.55,20.9,826.6,0.13,167.1,45.6,212.8,180.4,5.6,0.69,22.1,875.5,0.14,180.8,48.2,229.0,357.4,16.8,2.24,33.3,1535.3,0.17,358.5,79.1,437.6,597.7,29.3,4.02,55.8,2462.0,0.34,599.7,129.2,728.9,30.29,180.1,0.0,210.39,32.6,196.26,0.0,228.86,16242283.0
RFCEc,ET,2040,18,17921584.5,17122338.7,5537109.0,4129452.5,0.04,0.0657,0.57,0.56,182.8,5.2,0.64,22.8,883.6,0.15,183.1,49.2,232.3,201.9,6.2,0.78,24.8,964.0,0.16,202.3,53.5,255.8,402.0,17.5,2.31,38.7,1774.1,0.19,403.2,91.6,494.8,689.5,26.4,3.8,74.3,2803.7,0.58,691.3,158.1,849.4,38.15,173.39,0.0,211.54,40.93,188.22,0.0,229.15,16503117.0
RFCEc,ET,2040,19,16656583.9,15930550.4,5392008.0,4719938.0,0.038,0.0607,0.57,0.56,178.6,5.0,0.6,22.4,874.8,0.14,178.9,48.5,227.5,192.9,5.7,0.69,24.0,937.0,0.15,193.3,52.0,245.2,395.6,18.4,2.45,37.0,1711.3,0.19,396.8,88.0,484.8,633.3,26.4,3.69,65.2,2620.7,0.45,635.1,143.4,778.5,31.15,23.6,0.0,54.76,33.25,25.53,0.0,58.78,15982205.0
RFCEc,ET,2040,20,16088958.8,15385048.6,5609600.0,4820923.5,0.0372,0.0585,0.58,0.57,171.6,4.7,0.55,21.6,856.5,0.13,171.8,47.2,219.1,186.5,5.6,0.68,23.0,913.6,0.14,186.9,50.3,237.2,380.5,19.0,2.56,34.4,1602.5,0.18,381.8,82.2,464.0,591.6,30.6,4.18,53.1,2422.6,0.31,593.6,125.4,719.1,26.72,3.08,0.0,29.79,28.45,3.32,0.0,31.77,15298502.0
RFCEc,ET,2040,21,15169261.1,14508410.9,5888393.0,5268433.5,0.036,0.0552,0.56,0.57,175.0,4.7,0.55,22.3,877.3,0.14,175.3,48.4,223.7,186.0,5.6,0.68,23.0,911.8,0.14,186.4,50.2,236.6,371.0,19.6,2.65,32.6,1534.1,0.18,372.3,78.3,450.6,605.3,37.1,5.16,49.1,2306.3,0.31,607.8,117.9,725.7,25.86,0.0,0.0,25.86,27.45,0.0,0.0,27.45,14551106.0
RFCEc,ET,2040,22,13821446.5,13213809.3,5726366.5,5669447.5,0.0344,0.0502,0.55,0.56,178.1,4.7,0.54,22.8,896.2,0.14,178.4,49.6,228.0,184.3,5.5,0.65,23.0,907.5,0.14,184.7,50.1,234.7,368.3,19.5,2.64,32.3,1520.1,0.17,369.6,77.6,447.2,624.4,41.8,5.88,47.5,2255.1,0.33,627.2,114.8,742.0,25.16,0.0,0.0,25.16,26.59,0.0,0.0,26.59,13769240.0
RFCEc,ET,2040,23,12589508.9,11996947.8,5433283.5,6014533.5,0.033,0.0455,0.56,0.58,175.6,4.5,0.52,22.8,886.4,0.14,175.9,49.2,225.1,176.9,5.0,0.59,22.5,879.9,0.14,177.2,48.8,226.0,362.5,18.5,2.5,32.4,1517.7,0.17,363.8,77.6,441.4,606.1,40.8,5.7,45.3,2220.6,0.3,608.9,111.5,720.4,24.24,0.0,0.0,24.24,25.51,0.0,0.0,25.51,13177227.0
RFCEc,ET,2045,0,12018799.9,11341068.5,5392828.5,6780753.0,0.0318,0.0408,0.56,0.58,172.7,4.1,0.45,22.7,884.0,0.14,172.9,49.1,222.0,171.2,4.2,0.47,22.5,871.5,0.14,171.5,48.5,220.0,351.9,14.3,1.85,34.8,1594.7,0.16,352.8,82.4,435.2,571.4,34.2,4.74,47.7,2209.8,0.3,573.7,113.6,687.3,22.91,0.0,0.0,22.91,24.0,0.0,0.0,24.0,13425157.0
RFCEc,ET,2045,1,11477395.7,10700444.0,5421591.5,7096225.5,0.0313,0.0385,0.57,0.59,170.8,4.0,0.44,22.6,876.9,0.14,171.0,48.8,219.8,167.2,3.9,0.43,22.2,856.7,0.14,167.4,47.8,215.2,345.7,13.3,1.71,34.9,1589.6,0.16,346.6,82.3,428.8,547.4,32.2,4.42,46.2,2154.9,0.27,549.6,110.5,660.0,22.35,0.0,0.0,22.35,23.35,0.0,0.0,23.35,13170888.0
RFCEc,ET,2045,2,11205857.2,10361110.7,5399247.5,7207925.0,0.0311,0.0372,0.57,0.59,170.0,3.9,0.43,22.6,873.7,0.14,170.3,48.7,218.9,165.8,3.8,0.42,22.1,851.1,0.14,166.0,47.5,213.5,342.5,12.8,1.63,34.9,1588.2,0.16,343.4,82.3,425.7,524.4,28.6,3.91,46.3,2127.2,0.26,526.3,109.7,636.0,22.05,0.0,0.0,22.05,23.01,0.0,0.0,23.02,13033502.0
RFCEc,ET,2045,3,11111129.7,10283166.0,5412384.5,7255960.0,0.0311,0.037,0.57,0.59,170.5,3.9,0.43,22.7,876.2,0.14,170.7,48.8,219.5,165.8,3.8,0.42,22.2,851.9,0.14,166.0,47.6,213.6,341.0,12.5,1.59,35.0,1587.3,0.16,341.8,82.3,424.1,546.8,30.4,4.17,47.3,2190.2,0.28,548.9,112.7,661.5,21.98,0.0,0.0,21.98,22.95,0.0,0.0,22.95,12973562.0
RFCEc,ET,2045,4,11134531.1,10360783.9,5554931.5,7375305.5,0.0311,0.0373,0.56,0.59,171.1,3.9,0.43,22.8,879.7,0.14,171.4,49.0,220.4,165.2,3.8,0.42,22.1,849.3,0.14,165.4,47.5,212.9,341.0,12.6,1.59,34.9,1586.9,0.16,341.8,82.3,424.1,517.4,27.0,3.65,46.6,2153.2,0.25,519.2,110.8,630.1,22.06,0.0,0.0,22.06,23.05,0.0,0.0,23.05,12972989.0
RFCEc,ET,2045,5,11793266.9,11100837.5,5586308.0,6949317.0,0.0316,0.04,0.57,0.61,167.3,3.9,0.43,22.2,859.5,0.14,167.5,47.9,215.4,160.6,3.7,0.41,21.5,825.0,0.14,160.8,46.1,206.9,315.6,11.8,1.5,32.2,1462.8,0.15,316.4,75.8,392.2,488.8,22.4,2.96,46.7,2138.8,0.23,490.3,110.5,600.8,21.93,0.0,0.0,21.93,22.96,0.0,0.0,22.96,13172687.0
